time_s,hip_cmd_rad,hip_actual_rad,hip_error_rad,hip_actual_deg,hip_error_deg,hip_velocity_rad_s,hip_effort,knee_cmd_rad,knee_actual_rad,knee_error_rad,knee_actual_deg,knee_error_deg,knee_velocity_rad_s,knee_effort
0.0002803802490234375,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0005552768707275391,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0006895065307617188,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0007879734039306641,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0008776187896728516,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0012211799621582031,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.001401662826538086,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.001596689224243164,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0017809867858886719,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
0.0018889904022216797,0.5,-3.3271315351659927e-15,0.5000000000000033,-1.9063059484989382e-13,28.647889756541353,0.0,0.0007120601650911008,1.5708,1.5707999999999898,1.021405182655144e-14,90.00021045914913,5.852220613892871e-13,1.0145321540332153e-13,1.5601650972740046e-06
